location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Afghanistan,Asia,2396.1975,38.661,94.61,1.4129999999999998,1.2349999999999999,5.28075,17.7125,257.129,0.07975,1.7,1.25,0.46,46.3,38928341.0,54.422,1803.987,64.83,0.511,14.065000000000001
Albania,Europe,46032.5595,1.911,852.735,0.0,0.615,11.761750000000001,50.32925,250.40599999999998,0.004,29.380000000000003,17.645,11.73,37.96,2877800.0,104.87100000000001,11803.431,78.57,0.795,11.9575
Algeria,Africa,3062.333,8.335,81.936,0.182,1.085,0.5814999999999999,52.1555,134.30599999999998,0.103,26.095,14.765,11.33,50.46,43851043.0,17.348,13913.839,76.88,0.748,8.1475
Andorra,Europe,179020.255,51.77,1643.694,0.0,0.8200000000000001,11.761750000000001,22.5725,2525.8460000000005,0.038,74.015,47.44,26.545,43.52,77265.0,163.755,28047.468,83.73,0.868,-18.295
Angola,Africa,1126.0025,4.29,25.695,0.122,0.915,5.28075,17.7125,29.054250000000003,0.04025,4.1,2.5700000000000003,1.53,49.305,32866268.0,23.89,5819.495,61.15,0.581,14.065000000000001
Anguilla,North America,56360.02650000001,0.0,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,100.44,61.0,39.435,44.91,15002.0,445.2115,8235.3695,81.88,0.849,-39.25
Antigua and Barbuda,North America,12897.231000000002,0.0,428.88699999999994,0.0,0.24,7.791,8.654,1910.6797500000002,0.023,59.97,35.62,24.35,33.335,97928.0,231.845,21490.943,77.02,0.778,-39.25
Argentina,South America,92612.2145,524.4625,1923.5865,12.103,0.92,5.28075,36.38075,239.4435,0.246,37.085,29.445,7.645,77.78,45195777.0,16.177,18933.907,76.67,0.845,69.505
Armenia,Asia,75543.9835,29.359499999999997,1515.0675,0.675,0.95,11.761750000000001,50.32925,382.3765,0.023,2.02,1.77,0.47500000000000003,35.185,2963234.0,102.931,8787.58,75.09,0.7759999999999999,10.19
Aruba,North America,69304.7335,0.0,468.6635,0.0,0.69,7.791,8.654,1910.6797500000002,0.023,114.52,62.13,52.39,33.33,106766.0,584.8,35973.781,76.29,0.708,-18.295
Australia,Oceania,1187.9859999999999,0.5489999999999999,35.686,0.0,1.145,15.84025,32.8825,759.7850000000001,0.0,22.759999999999998,20.060000000000002,2.7,60.650000000000006,25499881.0,3.202,44648.71,83.44,0.9440000000000001,14.065000000000001
Austria,Europe,72051.59700000001,18.265,1184.6574999999998,0.33299999999999996,0.65,10.326,21.817999999999998,5439.522000000001,0.0005,72.82,48.254999999999995,25.52,60.19,9006400.0,106.749,45436.685999999994,81.54,0.922,12.235
Azerbaijan,Asia,33067.5325,5.967,489.0435,0.19699999999999998,0.545,17.9195,159.16450000000003,358.63300000000004,0.008,27.78,18.18,9.6,69.44,10139175.0,119.309,15847.419,73.0,0.7559999999999999,11.2225
Bahamas,North America,31108.867999999995,3.8145,609.0305000000001,0.0,1.11,7.791,8.654,783.4522499999999,0.02775,18.735,13.285,5.45,56.94,393248.0,39.497,27717.847,73.92,0.8140000000000001,-39.25
Bahrain,Asia,153177.365,414.908,736.079,6.7585,0.58,7.791,116.435,2843.4519999999998,0.07,112.14,60.760000000000005,51.385000000000005,62.96,1701583.0,1935.9070000000002,43290.705,77.29,0.852,13.725
Bangladesh,Asia,5071.7845,19.3575,80.4665,0.32799999999999996,1.39,21.1115,117.11850000000001,37.7655,0.14,6.12,3.54,2.58,72.22,164689383.0,1265.036,3523.9840000000004,72.59,0.632,10.04
Barbados,North America,14051.521999999999,3.48,163.55200000000002,0.0,0.95,7.791,8.654,783.4522499999999,0.02775,53.36,31.29,22.07,58.33,287371.0,664.4630000000001,16978.068,79.19,0.8140000000000001,-39.25
Belarus,Europe,43104.1025,84.0275,317.536,1.058,0.895,17.9195,160.24875000000003,695.1945000000001,0.05450000000000001,10.575,6.945,3.63,43.52,9449321.0,46.858000000000004,17167.967,74.79,0.823,16.2825
Belgium,Europe,92964.4695,67.345,2166.1205,0.604,0.74,21.700499999999998,53.6255,1268.9180000000001,0.0195,78.655,51.209999999999994,29.12,50.93,11589616.0,375.564,42658.575999999994,81.63,0.9309999999999999,0.965
Belize,North America,32673.073,25.15,821.1335000000001,0.0,1.3,11.761750000000001,22.5725,362.5,0.0175,22.27,18.22,4.05,62.04,397621.0,16.426,7824.361999999999,74.62,0.716,-39.25
Benin,Africa,671.44,0.0,8.496,0.0,0.32,17.9195,170.93375000000003,124.893,0.16525,0.3,0.24,0.06,27.78,12123198.0,99.11,2064.236,61.77,0.545,63.67
Bermuda,North America,164499.8145,25.885,2147.7945,0.0,0.45,7.791,8.654,1910.6797500000002,0.023,123.42,64.02,56.18,47.22,62273.0,1308.82,50669.315,82.59,0.823,-18.295
Bhutan,Asia,2394.986,19.44,1.296,0.0,1.02,7.791,32.80825,6727.742749999999,0.0025,62.785,62.785,29.265,65.28,771612.0,21.188000000000002,8708.597,71.78,0.654,6.635
Bolivia,South America,35388.8435,185.642,1352.0055000000002,6.125,0.965,18.24175,162.07575000000003,143.0315,0.19549999999999998,17.155,12.99,4.165,27.78,11673029.0,10.202,6885.829000000001,71.51,0.718,52.7725
Bosnia and Herzegovina,Europe,62397.1485,8.382,2917.263,1.524,0.625,11.761750000000001,50.32925,307.2175,0.0195,11.77,8.45,3.3249999999999997,37.04,3280815.0,68.49600000000001,11713.895,77.4,0.78,30.24
Botswana,Africa,26133.843999999997,0.0,393.77,0.0,1.4,11.761750000000001,84.46225000000001,290.7215,0.16475,8.934999999999999,6.5,2.81,64.81,2351625.0,4.044,15807.374,69.59,0.735,30.24
Brazil,South America,82710.5445,347.301,2315.562,9.5715,1.0150000000000001,8.48275,95.78775,53.72425,0.08475,38.06,26.57,11.19,60.65,212559409.0,25.04,14103.452,75.88,0.765,53.21
British Virgin Islands,North America,71977.05975,25.4815,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,67.06,41.03,26.04,44.91,30237.0,207.97299999999998,24611.433500000003,79.07,0.849,-39.25
Brunei,Asia,571.451,0.0,6.857,0.0,0.6,7.791,8.654,783.4522499999999,0.02775,15.08,12.38,2.7,40.74,437483.0,81.347,71809.25099999999,75.86,0.838,-39.25
Bulgaria,Europe,60546.137,14.7515,2582.52,1.295,0.73,34.756,312.01200000000006,432.73350000000005,0.009500000000000001,23.185,12.84,10.34,62.96,6948445.0,65.18,18563.307,75.05,0.816,5.385
Burkina Faso,Africa,643.894,0.048,7.989,0.0,0.79,5.85375,23.158749999999998,53.60125,0.2085,0.065,0.065,11.335,25.0,20903278.0,70.15100000000001,1703.102,61.58,0.452,27.492500000000003
Burundi,Africa,425.4975,1.472,0.6729999999999999,0.0,1.145,14.89575,43.90175,137.86675,0.24175000000000002,6.2700000000000005,4.635000000000001,1.635,15.74,11890781.0,423.06199999999995,702.225,61.58,0.433,3.855
Cambodia,Asia,2381.157,39.9845,21.801499999999997,0.748,1.07,5.641500000000001,26.689999999999998,75.2565,0.09949999999999999,34.18,18.585,15.594999999999999,72.69,16718971.0,90.67200000000001,3645.07,69.82,0.594,21.89
Cameroon,Africa,3021.5254999999997,0.0,49.405499999999996,0.0,0.36,5.85375,23.158749999999998,16.633499999999998,0.043250000000000004,0.355,0.28500000000000003,0.065,29.63,26545864.0,50.885,3364.926,59.29,0.563,14.065000000000001
Canada,North America,37429.28600000001,28.058500000000002,688.024,0.596,0.66,16.3345,36.5105,950.1400000000001,0.018500000000000003,79.88,65.515,14.365,73.61,37742157.0,4.037,44017.59099999999,82.43,0.929,8.1475
Cape Verde,Africa,57093.85799999999,123.204,499.1115,0.8995000000000001,0.79,7.791,8.654,783.4522499999999,0.01925,8.62,9.254999999999999,0.505,59.26,555988.0,135.58,6222.554,72.98,0.665,7.285
Cayman Islands,North America,95958.743,25.885,1036.2905,0.0,0.53,7.791,8.654,1910.6797500000002,0.023,135.29,71.61,63.83,45.370000000000005,65720.0,256.496,49903.029,83.92,0.823,-18.295
Central African Republic,Africa,1470.2579999999998,0.0,20.291,0.0,0.275,26.87825,199.913,1010.81725,0.1085,0.88,0.88,0.08,11.11,4829764.0,7.479,661.24,53.28,0.397,79.7825
Chad,Africa,300.928,0.0,10.593,0.0,0.715,22.368000000000002,162.07575000000003,58.51850000000001,0.133,0.05,0.05,11.307500000000001,25.0,16425859.0,11.833,1768.1529999999998,54.24,0.39799999999999996,72.7025
Chile,South America,77912.9375,293.3375,1616.089,6.2509999999999994,0.905,17.98475,38.4555,829.6869999999999,0.094,110.225,62.44499999999999,48.88,84.72,19116209.0,24.281999999999996,22767.037,80.18,0.851,33.25
China,Asia,63.6085,0.016,3.221,0.0,1.0,6.19775,29.661,836.39725,0.028500000000000004,64.93,43.21,15.51,71.76,1439323774.0,147.674,15308.712,76.91,0.7609999999999999,28.795
Colombia,South America,74995.071,561.4365,1911.4975,11.6445,1.07,8.457999999999998,42.99325,360.597,0.3255,26.759999999999998,18.695,8.06,62.04,50882884.0,44.223,13254.948999999999,77.29,0.767,125.745
Comoros,Africa,4488.296,0.0,167.894,0.0,0.88,7.791,8.654,271.922,0.01925,9.7,4.96,4.74,39.815,869595.0,437.352,1413.89,64.32,0.5539999999999999,7.285
Congo,Africa,2196.593,0.0,28.996,0.0,0.6,26.87825,199.913,554.69075,0.0435,1.13,1.13,11.235000000000001,50.93,5518092.0,15.405,4881.406,64.57,0.574,92.01
Cook Islands,Oceania,71977.05975,25.4815,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,69.77,54.59,30.195,44.91,17564.0,290.52,8235.3695,76.25,0.849,-39.25
Costa Rica,North America,67967.56049999999,362.87,868.0605,4.024,0.99,19.45375,49.729499999999994,222.1135,0.183,42.22,27.67,14.54,55.56,5094114.0,96.079,15524.995,80.28,0.81,7.0575
Cote d'Ivoire,Africa,1816.684,0.9670000000000001,11.6,0.0,1.08,5.85375,26.689999999999998,25.7095,0.016,2.67,2.67,11.262500000000001,17.59,26378275.0,76.399,3601.006,57.78,0.5379999999999999,32.7625
Croatia,Europe,87387.717,23.994,1987.9335,1.218,0.61,11.576,87.814,508.97,0.025500000000000002,53.12,34.68000000000001,18.439999999999998,38.89,4105268.0,73.726,22669.797000000002,78.49,0.851,12.695
Cuba,North America,14240.396,125.9865,98.176,0.971,1.14,5.641500000000001,26.689999999999998,413.83400000000006,0.053500000000000006,37.135000000000005,18.715,6.74,78.24,11326616.0,110.40799999999999,1177.6989999999998,78.8,0.7829999999999999,-2.5949999999999998
Curacao,North America,69304.7335,0.0,335.996,0.0,1.045,7.791,8.654,1910.6797500000002,0.023,99.11500000000001,53.385000000000005,45.73,55.089999999999996,164100.0,362.644,14840.8755,78.88,0.708,-27.495
Cyprus,Europe,82595.256,76.013,421.16900000000004,0.0,1.0950000000000002,12.387,51.2385,8652.850999999999,0.001,77.68,47.52,30.16,43.52,888005.0,127.65700000000001,32415.132,80.98,0.887,6.59
Czechia,Europe,155516.7895,15.547999999999998,2823.938,0.4205,0.65,1.7275,12.1395,1102.464,0.006,64.32000000000001,43.599999999999994,21.405,41.67,10708982.0,137.17600000000002,32605.906000000003,79.38,0.9,-1.465
Democratic Republic of Congo,Africa,402.7405,3.4275,9.552,0.045,1.19,14.443999999999999,117.11850000000001,153.89725,0.2265,0.07,15.095,11.265,41.67,89561404.0,35.879,808.133,60.68,0.48,71.6575
Denmark,Europe,50294.422,55.937000000000005,436.449,0.0,0.705,3.4530000000000003,16.487499999999997,5906.843,0.004,75.735,49.36,26.755000000000003,55.56,5792203.0,136.52,46682.515,80.9,0.94,4.95
Djibouti,Africa,11716.575499999999,1.518,155.87,0.0,0.715,7.791,8.654,166.918,0.11025,2.435,1.27,0.89,54.63,988002.0,41.285,2705.406,67.11,0.524,7.285
Dominica,North America,2625.328,0.0,242.64299999999997,0.0,0.07,7.791,8.654,1910.6797500000002,0.023,52.545,27.91,24.64,31.48,71991.0,98.56700000000001,9673.367,75.0,0.742,-39.25
Dominican Republic,North America,28679.4575,91.2615,343.0615,0.5529999999999999,0.97,5.641500000000001,26.689999999999998,150.484,0.228,60.04,39.58,20.46,62.96,10847904.0,222.873,14600.861,74.08,0.7559999999999999,-2.5949999999999998
Ecuador,South America,24954.6845,55.48950000000001,1196.3345,1.5585,1.01,5.641500000000001,26.689999999999998,80.665,0.2655,20.235,13.379999999999999,6.855,60.19,17643060.0,66.939,10581.936000000002,77.01,0.759,45.245000000000005
Egypt,Africa,2684.405,5.9365000000000006,153.48700000000002,0.36200000000000004,0.8,14.443999999999999,117.11850000000001,85.65,0.06625,3.71,3.05,0.66,43.52,102334403.0,97.999,10550.206,71.99,0.7070000000000001,10.04
El Salvador,North America,11778.235,0.0,355.7555,0.7709999999999999,1.11,19.45375,170.93375000000003,1556.6792500000001,0.004750000000000001,37.125,21.525,15.605,26.85,6486201.0,307.811,7292.4580000000005,73.32,0.6729999999999999,4.9775
