country,tfr,continent,population,life_exp,gdp,cmr
Afghanistan,5.82,asia,29200000.0,59.9,543.0,88.0
Albania,1.65,europe,2950000.0,77.6,4090.0,13.3
Algeria,2.89,africa,36000000.0,76.3,4480.0,27.4
Angola,6.16,africa,23400000.0,59.9,3590.0,120.0
Antigua and Barbuda,2.13,americas,88000.0,76.6,13000.0,9.59
Argentina,2.37,americas,40900000.0,75.8,10400.0,14.4
Armenia,1.55,europe,2880000.0,74.0,3220.0,18.5
Australia,1.93,asia,22200000.0,82.0,52000.0,4.77
Austria,1.44,europe,8410000.0,80.6,46900.0,4.33
Azerbaijan,1.96,europe,9030000.0,69.3,5840.0,37.6
Bahamas,1.87,americas,355000.0,73.4,28400.0,12.9
Bahrain,2.14,asia,1240000.0,78.2,20700.0,8.53
Bangladesh,2.28,asia,148000000.0,69.5,781.0,49.1
Barbados,1.78,americas,282000.0,76.7,16100.0,14.6
Belarus,1.54,europe,9420000.0,70.4,6030.0,5.52
Belgium,1.81,europe,10900000.0,80.1,44100.0,4.46
Belize,2.72,americas,322000.0,73.6,4270.0,18.9
Benin,5.36,africa,9200000.0,61.4,1040.0,111.0
Bhutan,2.38,asia,686000.0,71.6,2260.0,42.5
Bolivia,3.2,americas,10000000.0,70.8,1960.0,41.1
Bosnia and Herzegovina,1.31,europe,3710000.0,76.3,4640.0,7.18
Botswana,2.88,africa,1990000.0,60.2,6430.0,49.8
Brazil,1.81,americas,196000000.0,74.4,11300.0,18.7
Brunei,1.84,asia,389000.0,75.1,35300.0,9.66
Bulgaria,1.49,europe,7430000.0,73.8,6810.0,10.7
Burkina Faso,5.87,africa,15600000.0,58.3,648.0,114.0
Burundi,6.26,africa,8680000.0,57.8,234.0,90.7
Cambodia,2.88,asia,14300000.0,67.1,786.0,44.3
Cameroon,5.11,africa,20300000.0,57.7,1290.0,107.0
Canada,1.64,americas,34100000.0,81.4,47400.0,5.65
Cape Verde,2.67,africa,493000.0,74.3,3380.0,24.9
Central African Republic,5.22,africa,4390000.0,48.0,488.0,150.0
Chad,6.59,africa,12000000.0,56.4,893.0,150.0
Chile,1.88,americas,17100000.0,78.6,12800.0,8.7
China,1.59,asia,1370000000.0,75.8,4550.0,15.8
Colombia,2.01,americas,45200000.0,78.1,6340.0,18.5
Comoros,4.92,africa,690000.0,66.5,1320.0,87.1
"Congo, Dem. Rep.",6.47,africa,64600000.0,57.9,334.0,115.0
"Congo, Rep.",4.95,africa,4270000.0,59.8,2810.0,62.5
Costa Rica,1.92,americas,4580000.0,79.4,8140.0,10.1
Cote d'Ivoire,5.22,africa,20500000.0,57.4,1210.0,107.0
Croatia,1.47,europe,4330000.0,76.8,13900.0,5.47
Cuba,1.64,americas,11200000.0,78.3,5730.0,6.15
Cyprus,1.42,europe,1110000.0,80.1,31000.0,3.57
Denmark,1.88,europe,5550000.0,79.3,58000.0,4.11
Djibouti,3.3,africa,840000.0,63.8,1340.0,76.4
Dominican Republic,2.6,americas,9700000.0,74.0,5560.0,34.2
Ecuador,2.66,americas,15000000.0,74.7,4630.0,18.3
Egypt,3.19,africa,82800000.0,69.4,2640.0,29.0
El Salvador,2.27,americas,6180000.0,73.4,2980.0,19.3
Equatorial Guinea,5.21,africa,944000.0,62.2,17300.0,112.0
Eritrea,4.61,africa,3170000.0,58.6,501.0,55.4
Estonia,1.64,europe,1330000.0,76.0,14800.0,4.57
Ethiopia,4.92,africa,87600000.0,62.9,342.0,82.9
Fiji,2.67,asia,860000.0,67.4,3650.0,23.9
Finland,1.87,europe,5370000.0,80.2,46500.0,3.06
France,1.99,europe,62900000.0,81.4,40600.0,4.27
Gabon,4.08,africa,1620000.0,62.8,8850.0,62.8
Gambia,5.71,africa,1790000.0,63.6,861.0,77.1
Georgia,1.92,europe,4100000.0,72.8,3230.0,14.2
Germany,1.39,europe,80800000.0,80.4,41500.0,4.18
Ghana,4.27,africa,24800000.0,61.6,1300.0,69.9
Greece,1.41,europe,10900000.0,80.3,26900.0,3.91
Grenada,2.24,americas,106000.0,74.1,7260.0,14.2
Guatemala,3.38,americas,14600000.0,71.7,2900.0,35.0
Guinea,5.34,africa,10200000.0,57.4,672.0,117.0
Guinea-Bissau,5.05,africa,1520000.0,55.9,558.0,114.0
Guyana,2.66,americas,749000.0,68.0,3030.0,37.4
Haiti,3.33,americas,9950000.0,32.5,666.0,209.0
Honduras,2.87,americas,8320000.0,72.8,1900.0,23.6
Hungary,1.33,europe,9930000.0,74.6,13100.0,6.0
Iceland,2.07,europe,320000.0,82.4,43000.0,2.62
India,2.6,asia,1230000000.0,66.7,1360.0,58.2
Indonesia,2.48,asia,242000000.0,69.7,3120.0,34.1
Iran,1.77,asia,73800000.0,75.2,6600.0,19.7
Iraq,4.56,asia,29700000.0,73.5,4660.0,34.8
Ireland,2.0,europe,4550000.0,80.7,48700.0,4.17
Israel,3.0,asia,7350000.0,81.8,30700.0,4.56
Italy,1.43,europe,59300000.0,82.0,36000.0,3.97
Jamaica,2.17,americas,2810000.0,75.8,4700.0,18.3
Japan,1.37,asia,129000000.0,83.1,44500.0,3.2
Jordan,3.66,asia,7260000.0,77.6,3690.0,20.3
Kazakhstan,2.67,asia,16300000.0,68.4,9070.0,20.2
Kenya,4.37,africa,42000000.0,61.2,952.0,56.5
Kiribati,3.84,asia,103000.0,60.9,1520.0,64.7
Kuwait,2.22,asia,2990000.0,81.2,38600.0,10.4
Kyrgyz Republic,2.98,asia,5420000.0,69.7,880.0,29.6
Lao,3.15,asia,6250000.0,63.8,1140.0,68.1
Latvia,1.51,europe,2120000.0,73.2,11300.0,7.81
Lebanon,1.61,asia,4950000.0,77.2,7760.0,10.2
Lesotho,3.3,africa,2000000.0,47.8,1140.0,100.0
Liberia,5.02,africa,3890000.0,61.3,513.0,96.7
Libya,2.41,africa,6200000.0,73.4,12100.0,16.6
Lithuania,1.51,europe,3120000.0,73.3,12000.0,6.04
Luxembourg,1.58,europe,508000.0,80.8,105000.0,2.99
Madagascar,4.6,africa,21200000.0,61.7,472.0,67.3
Malawi,5.31,africa,14500000.0,54.2,479.0,88.4
Malaysia,2.15,asia,28200000.0,74.4,9040.0,7.94
Maldives,2.23,asia,366000.0,79.2,7080.0,13.8
Mali,6.55,africa,15000000.0,59.4,710.0,131.0
Malta,1.39,europe,414000.0,80.4,21100.0,6.81
Mauritania,4.98,africa,3490000.0,68.2,1610.0,97.1
Mauritius,1.58,africa,1250000.0,74.0,8000.0,15.2
Mexico,2.34,americas,114000000.0,75.2,9270.0,17.4
"Micronesia, Fed. Sts.",3.46,asia,103000.0,67.0,2890.0,39.9
Moldova,1.27,europe,4090000.0,69.8,2440.0,17.2
Mongolia,2.64,asia,2720000.0,66.0,2640.0,26.1
Montenegro,1.77,europe,624000.0,76.0,6680.0,6.44
Morocco,2.58,africa,32300000.0,72.1,2840.0,32.0
Mozambique,5.56,africa,23500000.0,52.0,471.0,105.0
Myanmar,2.41,asia,50600000.0,64.8,979.0,63.3
Namibia,3.61,africa,2120000.0,59.0,5320.0,48.3
Nepal,2.61,asia,27000000.0,69.2,592.0,46.8
Netherlands,1.8,europe,16700000.0,80.8,51000.0,4.46
New Zealand,2.12,asia,4370000.0,80.7,33700.0,6.14
Nicaragua,2.43,americas,5820000.0,77.6,1500.0,20.4
Niger,7.49,africa,16500000.0,59.1,473.0,123.0
Nigeria,5.84,africa,159000000.0,60.5,2290.0,135.0
Norway,1.95,europe,4890000.0,80.9,87700.0,3.23
Oman,2.9,asia,3040000.0,75.2,18800.0,11.7
Pakistan,3.86,asia,179000000.0,64.3,987.0,87.5
Palestine,4.42,asia,4060000.0,73.9,2350.0,23.3
Panama,2.62,americas,3640000.0,78.2,8080.0,19.9
Papua New Guinea,3.99,asia,7310000.0,56.3,1950.0,58.2
Paraguay,2.73,americas,6250000.0,74.6,4360.0,26.0
Peru,2.55,americas,29000000.0,77.5,5080.0,20.1
Philippines,3.16,asia,94000000.0,69.2,2220.0,32.0
Poland,1.37,europe,38300000.0,76.4,12600.0,5.98
Portugal,1.33,europe,10600000.0,80.0,22500.0,3.87
Qatar,2.07,asia,1860000.0,78.0,67400.0,9.0
Romania,1.47,europe,20500000.0,73.7,8210.0,11.5
Russia,1.57,europe,143000000.0,68.1,10700.0,10.3
Rwanda,4.52,africa,10000000.0,64.3,612.0,63.5
Samoa,4.34,asia,186000.0,72.5,3570.0,18.7
Sao Tome and Principe,4.79,africa,180000.0,68.9,1090.0,45.4
Saudi Arabia,2.96,asia,27400000.0,74.8,19300.0,12.1
Senegal,5.06,africa,12700000.0,65.9,1280.0,66.4
Serbia,1.58,europe,8990000.0,74.4,5740.0,7.61
