Label,X,Y
P194,4.271333978209294,5.999275953968892
P51,5.635439862954245,4.125305210751103
P170,5.655099921847116,5.541617171962684
P145,5.510634773508451,5.1533510347337055
P107,5.2603999282652385,4.475439303380874
P159,6.384872946270449,4.948485840732271
P239,6.789340137675689,4.568911925970573
P246,6.664487554199066,5.015364381560973
P30,3.2114273434952754,5.742510091437892
P98,6.380194381276949,5.555165386907363
P128,6.501365012306889,5.063297808932287
P131,4.386993260741612,4.256759198775786
P225,4.455609894673229,3.5933624703641396
P119,5.96709642882163,4.440930820824245
P65,4.181910942118389,5.758617236631625
P234,7.06210187391664,4.98044059913275
P82,4.509441452362575,3.960666059741762
P7,8.628370404058854,8.285510273699925
P238,6.245202990169844,5.211395030391062
P182,4.778986427950052,5.132794609114578
P205,5.207902469873428,4.971896319723082
P215,7.308687490215627,5.467817289750684
P169,5.581684687587899,4.279375597728553
P209,6.987206009366168,5.398798936718317
P52,6.879014581788242,4.694870086528803
P203,5.013753259377674,4.613323061332477
P12,10.0,7.804954076362261
P66,4.678706548705204,5.873214319766365
P90,5.348283551952294,5.695622803364799
P115,6.4457043598236385,4.730074039166771
P254,5.838048068618108,3.293268758466014
P63,6.144933722613972,7.029507510922293
P226,6.359585915447322,4.466988650468266
P101,4.633418021797042,5.451820636911736
P243,6.195650577672353,4.520949185169645
P222,5.282309949035609,6.532789913775297
P204,7.084939069968648,6.178762795689938
P23,7.010678750799396,5.012852948363631
P148,5.898677648220452,6.047933851123145
P220,5.682092263314681,5.451719320164882
P208,6.60485208653768,5.488945183598726
P100,7.030138297459031,3.9923719207330652
P206,5.9756598577201325,4.058982666690029
P221,6.063095371408308,2.886903936255494
P70,5.676306441411706,5.688318814286313
P36,5.579047091479657,6.577260406692721
P259,6.3918648627137316,4.518244026532816
P67,7.60792452292037,4.511243369934524
P97,5.794013223429147,4.870671471360484
P9,2.102166289577991,1.2768181195798594
P33,6.803939065234575,5.493539308269723
P217,5.563680011049888,5.3166325999106565
P142,6.429128047676734,6.071859055736462
P185,5.473779474480313,5.738175254213608
P84,5.1706592465400565,5.413635231213476
P241,6.347325040009366,5.270026758194428
P202,5.262071258000553,4.6682106379780395
P256,5.204335605730494,4.998998002243031
P92,5.132972653677283,5.283480003393326
P186,4.8253133677848306,3.6768579452033325
P80,5.988705246588346,4.623384189162689
P162,6.126860995795233,4.241973851669306
P140,7.636380713605523,4.148686570185351
P129,6.4894225102211935,3.730460892558429
P64,7.057373389578444,2.7833781644696947
P150,5.588960698167478,5.764092158299881
P218,7.125638851522106,3.5950938495096176
P68,4.499060867814919,4.5874837815191984
P183,4.641421715568504,6.959506470346959
P42,5.838596903292511,3.6209956984329694
P127,4.607998739519121,4.574884142307276
P196,6.429483911100531,3.858120379861094
P136,5.176366786309345,5.5066060939427395
P106,6.336600503753526,3.2870032148818713
P73,6.3083511359746955,6.041862105269406
P143,6.955337623166336,4.922517015984035
P158,5.87204284113585,5.85164967692009
P251,5.645718817322464,7.072307378742075
P79,7.727970030496176,5.543612440731072
P93,6.822615963681518,4.013231834930108
P39,7.836918850364744,6.09338095817073
P151,5.602935292425925,5.20521766518672
P224,6.34747693506357,5.072068653028602
P178,4.585600478569846,4.75090280793329
P78,6.71087516979304,5.652046215222086
P174,5.930175890376179,5.116852543412177
P10,8.89450306187543,7.81115354925637
P114,4.656723783902827,5.331249690756782
P118,4.011008026450646,5.451966054787
P13,1.7441345717953038,7.499878095276485
P32,5.370699281131753,3.9742479696340864
P15,2.3303332843602336,2.5204275973203263
P125,5.142593967386848,6.339441660487436
P155,6.049844866176368,5.856408015109396
P252,5.197437620823337,4.111852172051399
P28,5.20158067853025,4.994853327362177
P187,5.592156194565589,5.006775857282718
P235,5.248900976195295,4.810510089741139
P168,6.435278601143837,4.234973966312781
P62,6.741516786266393,4.279850862407797
P110,5.049064401432687,4.023199915207413
P43,4.122849920724097,3.5062520755297415
P60,5.2359871072984765,5.2636697098535095
P17,9.413812720461314,0.0
P197,4.685684550992135,4.396291485708498
P257,6.2506948091209775,4.54133658034563
P262,5.367447413666699,5.981709647473822
P19,9.650017476827795,1.468070591463913
P189,6.802203428559257,5.759594674410238
P18,2.422596264065515,9.027452001246994
P198,7.462244328034011,4.400415519449372
P96,5.669313348367588,5.926179498690017
P188,5.789003968681361,5.1781453435611855
P172,6.297870465646743,5.285614210549106
P201,7.2832012218569195,6.43504533206356
P124,5.432699086045199,5.820715374560907
P54,6.42081581541898,4.625745004736935
P108,8.219648969876454,5.2663607127421415
P38,7.0120104155785645,5.491380749179893
P44,3.6346419312622547,3.7016601041128427
P69,6.472675305738784,5.472857692665277
P212,5.308966405345625,4.910345745927209
P46,5.8111989796911985,5.281332477844661
P167,5.714792692352839,4.498874753171171
P157,6.706936753264523,5.546558525490253
P261,5.594834640859397,4.189359299273361
P95,7.187363004908401,6.536630922137018
P223,4.7237367546542455,5.795880016960952
P37,5.912717767307387,4.454711342882776
P2,6.949238260616973,1.8766299866628215
P21,5.045343460829318,5.834269485111884
P152,5.999592802689394,6.242836378414282
P102,5.005888692678642,5.178813556117659
P8,9.883807436657579,1.3072474846730158
P181,5.556893911043783,5.4615855469611665
P266,6.06443483352765,4.896182193313086
P94,6.598157332963453,4.331585634511098
P210,5.687381112082562,5.539164364296701
P249,4.668802789638162,5.8752872873290105
P89,4.988194478715354,3.590295702896147
P14,0.0,8.85090865684292
P103,5.236092227675805,5.876411653735617
P250,6.07147144595147,5.3026462299566655
P31,8.713746085498109,4.5345134076257505
P116,7.171293444083165,4.958248189277926
P27,5.953969976297021,4.77896326829803
P233,7.409675202987074,6.1228850626892095
P45,4.376020102504374,4.058875210997322
P77,4.756773821711181,6.159075241660864
P161,4.224163008872939,4.390945951960542
P232,6.7302688169340925,5.043033573532904
P87,5.993050238353569,3.583555415157283
P132,4.788193067528833,4.456841553235703
P48,6.080548232991072,5.591285776326469
P111,6.865461506756516,5.387627726043372
P195,4.635446702820754,3.129959345506985
P105,6.317212910756384,5.2746923654368825
P104,5.294164892811159,4.235742853088146
P56,6.022161299190208,4.230909576967755
P55,4.77397287113015,5.371489275673121
P163,7.108097608630876,6.54146208891583
P240,5.203684312611458,5.107027163221702
P216,6.674511257144973,5.405008670519717
P200,4.9619618358911985,4.931638679584781
P137,6.08691119248058,5.137873437385223
P264,4.38527807396203,5.692840037445224
P29,4.858313594349154,5.215215454895848
P177,6.219584786918889,7.423813322508849
P267,6.6904408431878135,4.0551479980342116
P192,6.75003151582191,5.071625991918507
P3,9.198855348896258,1.473564104525975
P171,6.952213250182478,5.778351746089536
P83,6.406183964648791,5.1295920589699655
P134,6.0927964524148015,5.379710626442369
P91,4.212217634023634,4.221751407563666
P4,8.753183865358682,8.156871468120872
P184,5.15329618902718,5.395244876938248
P269,5.0634808079250915,4.5913207208452755
P20,5.682267259710555,4.281658540157513
P35,5.062846917170943,3.7956722477989224
P191,7.122839618909244,5.4234676701009565
P50,5.50696061269114,4.030237348335358
P57,8.835112663487088,6.313188027264558
P253,5.966357356486291,4.7484127440495625
P219,6.079507396390823,5.372641248038535
P121,6.604913390880414,3.8086520315491295
P53,4.2447719752708855,4.475018244354213
P154,6.474385308592612,3.9380309831644666
P193,5.0554292202629325,5.311103883228059
P26,7.53491533295874,4.202747702943207
P144,5.827215499642229,4.092176965908987
P228,6.123328356851023,4.917446802602596
P25,4.899537686285776,5.484062685473903
P199,6.4048004477444795,6.334419294886891
P263,5.754872128487674,4.513391744341518
P47,7.23752258672131,6.382145259433258
P141,4.973077126405673,7.62979362744614
P165,5.688741363421541,5.656684129519759
P72,4.843443026360267,5.3394934922360395
P59,3.6011342559702273,4.5156212562185445
P247,5.772901336977593,5.017700341516091
P81,5.8012840093627,5.852426902233004
P130,6.70555176595932,4.557809291768214
P99,3.4747367634661526,5.236535905736076
P41,5.2206222302724825,6.399108323191901
P237,4.900451071376318,6.212770792626636
P175,5.037049106715986,4.303050793344292
P85,6.401793668962594,4.287779903143395
P0,8.485856573772434,2.0982760263411575
P5,1.0083073628574084,3.354059531537537
P255,5.437242867789305,3.699203625182459
P164,7.028210503861393,5.117641967461153
P190,6.525163376222462,4.896312503509553
P61,3.724418571296615,5.21822070544748
P242,6.029401944945994,4.726075315683916
P109,5.973795499990655,5.949389191569771
P260,5.429292095422355,4.570628640494348
P138,4.588426984402534,5.704548257448182
P112,7.221057121818289,4.568798843409396
P211,7.336434168035476,4.981754007151913
