location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Afghanistan,Asia,1262.859,5.035,51.659,0.33399999999999996,0.97,10.0515,293.4965,263.904,0.046,0.07,0.07,0.0,12.04,38928341.0,54.422,1803.987,64.83,0.511,32.8625
Albania,Europe,17595.733,229.68900000000002,361.38699999999994,4.17,0.91,59.7535,513.226,74.282,0.302,0.22,0.22,0.0,65.74,2877800.0,104.87100000000001,11803.431,78.57,0.795,53.58
Algeria,Africa,2132.3779999999997,10.581,59.998999999999995,0.228,0.79,1.026,171.86,65.8065,0.22449999999999998,0.0575,0.07,0.0,72.22,43851043.0,17.348,13913.839,76.88,0.748,30.965
Andorra,Europe,96369.63699999999,582.411,1022.455,0.0,0.93,39.833,210.4985,571.4125,0.1085,0.0,0.0,0.0,52.78,77265.0,163.755,53382.249500000005,83.73,0.868,38.51
Angola,Africa,499.205,2.282,11.532,0.03,0.93,10.0515,293.4965,81.095,0.061,0.07,0.07,0.0,65.74,32866268.0,23.89,5819.495,61.15,0.581,7.525
Antigua and Barbuda,North America,1541.9489999999998,0.0,51.058,0.0,0.68,39.833,210.4985,571.4125,0.1085,0.0,0.0,0.0,28.705,97928.0,231.845,21490.943,77.02,0.778,8.91
Argentina,South America,33566.101,152.64700000000002,915.24,3.2969999999999997,1.02,10.0515,293.4965,89.75399999999999,0.166,0.035,0.07,0.0,79.17,45195777.0,16.177,18933.907,76.67,0.845,28.11
Armenia,Asia,50693.937999999995,282.79900000000004,862.571,7.087000000000001,0.87,59.7535,735.4535000000001,190.8265,0.32,0.22,0.37,0.0,61.80499999999999,2963234.0,102.931,8787.58,75.09,0.7759999999999999,78.76
Australia,Oceania,1100.868,0.47100000000000003,35.608000000000004,0.0,1.11,48.188,289.1035,410.414,0.0,0.030000000000000002,0.030000000000000002,0.0,62.5,25499881.0,3.202,44648.71,83.44,0.9440000000000001,5.925000000000001
Austria,Europe,36678.695,287.351,528.957,11.658,0.8,60.846000000000004,317.774,385.82099999999997,0.11399999999999999,0.04,0.04,0.0,71.3,9006400.0,106.749,45436.685999999994,81.54,0.922,45.595
Azerbaijan,Asia,18476.453999999998,388.789,202.18599999999998,4.044,0.95,37.734,280.70500000000004,394.99474999999995,0.136,0.11,0.11,0.0,80.09,10139175.0,119.309,15847.419,73.0,0.7559999999999999,199.01
Bahamas,North America,19616.12,22.886,417.04,0.0,0.99,39.833,210.4985,873.076,0.023000000000000003,0.8099999999999999,0.8099999999999999,0.0,68.98,393248.0,39.497,27717.847,73.92,0.8140000000000001,27.19
Bahrain,Asia,52656.85,106.37200000000001,205.10299999999998,0.0,1.04,80.773,594.32,1304.547,0.016,3.15,3.15,0.0,50.93,1701583.0,1935.9070000000002,43290.705,77.29,0.852,22.37
Bangladesh,Asia,3010.765,8.3,43.451,0.182,0.83,49.781499999999994,323.629,18.34,0.106,0.02,0.02,0.0,80.09,164689383.0,1265.036,3523.9840000000004,72.59,0.632,42.945
Barbados,North America,1047.4260000000002,6.96,24.359,0.0,1.16,39.833,210.4985,873.076,0.023000000000000003,0.715,0.715,0.0,40.74,287371.0,664.4630000000001,16978.068,79.19,0.8140000000000001,27.19
Belarus,Europe,17556.5,200.332,136.624,0.9520000000000001,1.04,43.394,284.78700000000003,381.98699999999997,0.079,0.0,0.0,0.0,37.04,9449321.0,46.858000000000004,17167.967,74.79,0.823,72.45
Belgium,Europe,53069.748,202.077,1577.101,8.283,0.89,49.268,233.571,559.95,0.08,0.005,0.005,0.0,60.19,11589616.0,375.564,42658.575999999994,81.63,0.9309999999999999,23.11
Belize,North America,24324.671000000002,284.19,533.1709999999999,5.03,0.82,39.833,210.4985,873.076,0.023000000000000003,0.8099999999999999,0.8099999999999999,0.0,72.22,397621.0,16.426,7824.361999999999,74.62,0.716,27.19
