country,tfr,continent,population,life_exp,gdp,cmr
Albania,3.62,europe,2680000.0,71.7,1990.0,80.8
Algeria,6.79,africa,19200000.0,62.8,3640.0,149.0
Angola,7.5,africa,8340000.0,47.6,3180.0,238.0
Antigua and Barbuda,2.12,americas,61900.0,71.1,6370.0,44.8
Argentina,3.33,americas,27900000.0,70.1,7910.0,42.8
Australia,1.9,asia,14600000.0,74.4,29900.0,13.0
Austria,1.65,europe,7610000.0,72.8,27600.0,16.3
Bahamas,2.99,americas,211000.0,68.6,26700.0,29.5
Bahrain,4.92,asia,360000.0,71.1,21200.0,32.2
Bangladesh,6.36,asia,79600000.0,54.0,359.0,199.0
Barbados,2.0,americas,252000.0,72.9,13600.0,27.0
Belgium,1.63,europe,9870000.0,73.3,27100.0,14.5
Belize,5.85,americas,144000.0,69.6,2270.0,64.5
Benin,7.03,africa,3720000.0,51.3,812.0,215.0
Bhutan,6.55,asia,407000.0,53.3,390.0,194.0
Bolivia,5.52,americas,5580000.0,55.9,1650.0,168.0
Botswana,6.21,africa,898000.0,60.8,2110.0,71.6
Brazil,4.07,americas,121000000.0,64.9,8350.0,96.3
Brunei,4.25,asia,194000.0,67.0,59400.0,20.0
Bulgaria,2.11,europe,8880000.0,71.5,3650.0,23.9
Burkina Faso,7.13,africa,6820000.0,48.4,351.0,239.0
Burundi,7.42,africa,4160000.0,47.0,277.0,225.0
Cameroon,6.63,africa,8620000.0,54.9,1320.0,180.0
Canada,1.67,americas,24400000.0,75.2,29400.0,12.5
Cape Verde,6.38,africa,284000.0,67.6,680.0,89.5
Central African Republic,5.95,africa,2200000.0,48.6,563.0,186.0
Chad,6.96,africa,4510000.0,51.4,411.0,239.0
Chile,2.78,americas,11400000.0,69.9,5170.0,33.0
China,2.32,asia,1000000000.0,65.8,347.0,62.5
Colombia,3.97,americas,26900000.0,69.0,3930.0,57.7
Comoros,7.13,africa,308000.0,54.0,1400.0,175.0
"Congo, Dem. Rep.",6.59,africa,26400000.0,52.7,845.0,211.0
"Congo, Rep.",6.21,africa,1780000.0,52.8,2330.0,109.0
Costa Rica,3.59,americas,2390000.0,74.5,5020.0,23.7
Cote d'Ivoire,7.6,africa,8030000.0,55.8,2060.0,168.0
Cuba,1.89,americas,9850000.0,74.1,3040.0,22.1
Cyprus,2.35,europe,685000.0,73.8,12700.0,20.8
