location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Afghanistan,Asia,1385.5720000000001,1.952,60.008,0.128,0.68,12.030750000000001,266.7865,326.96025,0.039999999999999994,1.3325,1.3075,0.095,12.04,38928341.0,54.422,1803.987,64.83,0.511,18.435
Albania,Europe,23356.731,232.817,441.309,2.085,1.09,62.04050000000001,560.9835,102.60700000000001,0.2,0.01,0.01,0.11499999999999999,60.19,2877800.0,104.87100000000001,11803.431,78.57,0.795,21.62
Algeria,Africa,2362.794,5.678,64.559,0.091,0.93,0.7185,307.41450000000003,77.08975000000001,0.157,0.0,0.0,0.13,72.22,43851043.0,17.348,13913.839,76.88,0.748,9.370000000000001
Andorra,Europe,116974.05,737.721,1177.765,0.0,1.11,36.2915,131.442,1714.3334999999997,0.106,0.75,0.75,0.765,52.78,77265.0,163.755,50286.172000000006,83.73,0.868,-6.22
Angola,Africa,570.95,2.343,13.114,0.061,0.97,12.030750000000001,266.7865,113.78099999999999,0.11399999999999999,0.425,1.3075,0.095,65.74,32866268.0,23.89,5819.495,61.15,0.581,12.365
Antigua and Barbuda,North America,1909.566,10.212,61.27,0.0,0.81,35.682,98.129,1156.5347499999998,0.0865,11.065,11.085,0.375,42.13,97928.0,231.845,21490.943,77.02,0.778,16.925
Argentina,South America,39649.257000000005,217.675,1002.195,3.341,1.04,12.030750000000001,266.7865,110.76299999999999,0.17800000000000002,0.64,0.58,0.07,79.17,45195777.0,16.177,18933.907,76.67,0.845,1.255
Armenia,Asia,55424.242999999995,79.643,1008.02,3.037,0.75,62.04050000000001,560.9835,208.916,0.166,0.875,1.19,0.11499999999999999,51.39,2963234.0,102.931,8787.58,75.09,0.7759999999999999,13.25
Australia,Oceania,1125.809,0.392,35.647,0.0,0.81,47.9835,258.8655,481.279,0.0,0.06,0.035,0.05500000000000001,55.09,25499881.0,3.202,44648.71,83.44,0.9440000000000001,4.27
Austria,Europe,43581.342000000004,180.53799999999998,783.11,5.107,0.92,37.751,189.31,839.931,0.16999999999999998,1.22,1.22,0.05,82.41,9006400.0,106.749,45436.685999999994,81.54,0.922,11.62
